Solver;Use case;Sym breaking;#offers;#vars;#constraints;time
Z3;Oryx 2;PRLX;20;165;740;0.4686741828918457
Z3;Oryx 2;PRLX;40;165;960;1.4573938846588135
Z3;Oryx 2;PRLX;250;165;3270;5.625209093093872
Z3;Oryx 2;PRLX;500;165;6020;20.27741503715515
Z3;SecureBillingEmail;PRLX;20;50;241;0.1638960838317871
Z3;SecureBillingEmail;PRLX;40;50;341;0.4196169376373291
Z3;SecureBillingEmail;PRLX;250;50;1391;0.9961409568786621
Z3;SecureBillingEmail;PRLX;500;50;2641;4.20741605758667
Z3;SecureWebContainer;PRLX;20;60;315;0.19123411178588867
Z3;SecureWebContainer;PRLX;40;60;435;0.5197749137878418
Z3;SecureWebContainer;PRLX;250;60;1695;1.5885498523712158
Z3;SecureWebContainer;PRLX;500;60;3195;3.5783028602600098
Z3;Wordpress3;PRLX;20;80;417;0.38029003143310547
Z3;Wordpress3;PRLX;40;80;577;1.048462152481079
Z3;Wordpress3;PRLX;250;80;2257;4.387281179428101
Z3;Wordpress3;PRLX;500;80;4257;6.6422600746154785
Z3;Wordpress4;PRLX;20;100;519;0.5884048938751221
Z3;Wordpress4;PRLX;40;100;719;1.586928129196167
Z3;Wordpress4;PRLX;250;100;2819;6.28314995765686
Z3;Wordpress4;PRLX;500;100;5319;11.938806056976318
Z3;Wordpress5;PRLX;20;120;621;0.8341109752655029
Z3;Wordpress5;PRLX;40;120;861;2.682068109512329
Z3;Wordpress5;PRLX;250;120;3381;8.581862926483154
Z3;Wordpress5;PRLX;500;120;6381;45.53587794303894
Z3;Wordpress6;PRLX;20;130;672;0.8324120044708252
Z3;Wordpress6;PRLX;40;130;932;2.737816095352173
Z3;Wordpress6;PRLX;250;130;3662;14.426180839538574
Z3;Wordpress6;PRLX;500;130;6912;40.437010288238525
Z3;Wordpress7;PRLX;20;150;774;1.1285529136657715
Z3;Wordpress7;PRLX;40;150;1074;4.724865913391113
Z3;Wordpress7;PRLX;250;150;4224;28.10305404663086
Z3;Wordpress7;PRLX;500;150;7974;85.20906710624695
Z3;Wordpress8;PRLX;20;170;876;1.619659185409546
Z3;Wordpress8;PRLX;40;170;1216;6.2573511600494385
Z3;Wordpress8;PRLX;250;170;4786;92.01562690734863
Z3;Wordpress8;PRLX;500;170;9036;559.9118671417236
Z3;Wordpress9;PRLX;20;180;927;1.7702357769012451
Z3;Wordpress9;PRLX;40;180;1287;7.257678031921387
Z3;Wordpress9;PRLX;250;180;5067;165.63411617279053
Z3;Wordpress9;PRLX;500;180;9567;401.4292871952057
Z3;Wordpress10;PRLX;20;200;1029;2.7801883220672607
Z3;Wordpress10;PRLX;40;200;1429;9.789870738983154
Z3;Wordpress10;PRLX;250;200;5629;267.97130608558655
Z3;Wordpress10;PRLX;500;200;10629;1185.9613800048828
Z3;Wordpress11;PRLX;20;220;1131;3.267251968383789
Z3;Wordpress11;PRLX;40;220;1571;12.457028865814209
Z3;Wordpress11;PRLX;250;220;6191;274.42029309272766
Z3;Wordpress11;PRLX;500;220;11691;1827.222985982895
Z3;Wordpress12;PRLX;20;230;1182;3.987528085708618
Z3;Wordpress12;PRLX;40;230;1642;12.90204906463623
Z3;Wordpress12;PRLX;250;230;6472;209.68466567993164
Z3;Wordpress12;PRLX;500;230;12222;2245.5314428806305
Z3;Oryx 2;FVPR;20;165;644;0.3819246292114258
Z3;Oryx 2;FVPR;40;165;864;1.0419375896453857
Z3;Oryx 2;FVPR;250;165;3174;2.3372561931610107
Z3;Oryx 2;FVPR;500;165;5924;9.829133749008179
Z3;SecureBillingEmail;FVPR;20;50;230;0.0832216739654541
Z3;SecureBillingEmail;FVPR;40;50;330;0.2697618007659912
Z3;SecureBillingEmail;FVPR;250;50;1380;0.6844940185546875
Z3;SecureBillingEmail;FVPR;500;50;2630;1.8500046730041504
Z3;SecureWebContainer;FVPR;20;60;304;0.1140902042388916
Z3;SecureWebContainer;FVPR;40;60;424;0.39259910583496094
Z3;SecureWebContainer;FVPR;250;60;1684;1.5396411418914795
Z3;SecureWebContainer;FVPR;500;60;3184;3.4847917556762695
Z3;Wordpress3;FVPR;20;80;390;0.23170089721679688
Z3;Wordpress3;FVPR;40;80;550;0.7059016227722168
Z3;Wordpress3;FVPR;250;80;2230;2.4596967697143555
Z3;Wordpress3;FVPR;500;80;4230;8.046178340911865
Z3;Wordpress4;FVPR;20;100;485;0.3490946292877197
Z3;Wordpress4;FVPR;40;100;685;1.1064624786376953
Z3;Wordpress4;FVPR;250;100;2785;3.6284918785095215
Z3;Wordpress4;FVPR;500;100;5285;9.1541268825531
Z3;Wordpress5;FVPR;20;120;580;0.48795008659362793
Z3;Wordpress5;FVPR;40;120;820;1.633695125579834
Z3;Wordpress5;FVPR;250;120;3340;7.264546871185303
Z3;Wordpress5;FVPR;500;120;6340;15.247802972793579
Z3;Wordpress6;FVPR;20;130;629;0.4926915168762207
Z3;Wordpress6;FVPR;40;130;889;1.7045567035675049
Z3;Wordpress6;FVPR;250;130;3619;6.361418008804321
Z3;Wordpress6;FVPR;500;130;6869;17.307422399520874
Z3;Wordpress7;FVPR;20;150;724;0.7486464977264404
Z3;Wordpress7;FVPR;40;150;1024;2.4688425064086914
Z3;Wordpress7;FVPR;250;150;4174;8.30359959602356
Z3;Wordpress7;FVPR;500;150;7924;28.127472400665283
Z3;Wordpress8;FVPR;20;170;819;0.9899423122406006
Z3;Wordpress8;FVPR;40;170;1159;4.473947286605835
Z3;Wordpress8;FVPR;250;170;4729;28.00095009803772
Z3;Wordpress8;FVPR;500;170;8979;79.63752102851868
Z3;Wordpress9;FVPR;20;180;868;1.058915376663208
Z3;Wordpress9;FVPR;40;180;1228;4.657373666763306
Z3;Wordpress9;FVPR;250;180;5008;33.63538360595703
Z3;Wordpress9;FVPR;500;180;9508;87.92395806312561
Z3;Wordpress10;FVPR;20;200;963;1.495368480682373
Z3;Wordpress10;FVPR;40;200;1363;6.0617454051971436
Z3;Wordpress10;FVPR;250;200;5563;34.32822775840759
Z3;Wordpress10;FVPR;500;200;10563;240.36348509788513
Z3;Wordpress11;FVPR;20;220;1058;1.9154369831085205
Z3;Wordpress11;FVPR;40;220;1498;6.756091833114624
Z3;Wordpress11;FVPR;250;220;6118;70.77027678489685
Z3;Wordpress11;FVPR;500;220;11618;338.74071192741394
Z3;Wordpress12;FVPR;20;230;1107;1.915684461593628
Z3;Wordpress12;FVPR;40;230;1567;8.412018775939941
Z3;Wordpress12;FVPR;250;230;6397;33.32299542427063
Z3;Wordpress12;FVPR;500;230;12147;418.80161786079407
Z3;Oryx 2;FVLX;20;165;716;0.45391011238098145
Z3;Oryx 2;FVLX;40;165;936;1.4654648303985596
Z3;Oryx 2;FVLX;250;165;3246;6.965967178344727
Z3;Oryx 2;FVLX;500;165;5996;33.70113396644592
Z3;SecureBillingEmail;FVLX;20;50;234;0.20026588439941406
Z3;SecureBillingEmail;FVLX;40;50;334;0.38257908821105957
Z3;SecureBillingEmail;FVLX;250;50;1384;1.6844508647918701
Z3;SecureBillingEmail;FVLX;500;50;2634;2.680964946746826
Z3;SecureWebContainer;FVLX;20;60;308;0.19661879539489746
Z3;SecureWebContainer;FVLX;40;60;428;0.5266368389129639
Z3;SecureWebContainer;FVLX;250;60;1688;3.862967014312744
Z3;SecureWebContainer;FVLX;500;60;3188;4.69482684135437
Z3;Wordpress3;FVLX;20;80;414;0.43562817573547363
Z3;Wordpress3;FVLX;40;80;574;1.2936599254608154
Z3;Wordpress3;FVLX;250;80;2254;6.130167007446289
Z3;Wordpress3;FVLX;500;80;4254;25.489131927490234
Z3;Wordpress4;FVLX;20;100;517;0.6092870235443115
Z3;Wordpress4;FVLX;40;100;717;2.626555919647217
Z3;Wordpress4;FVLX;250;100;2817;14.889094114303589
Z3;Wordpress4;FVLX;500;100;5317;37.99474024772644
Z3;Wordpress5;FVLX;20;120;620;1.0595393180847168
Z3;Wordpress5;FVLX;40;120;860;2.9108941555023193
Z3;Wordpress5;FVLX;250;120;3380;21.458399057388306
Z3;Wordpress5;FVLX;500;120;6380;72.54976773262024
Z3;Wordpress6;FVLX;20;130;673;1.1566150188446045
Z3;Wordpress6;FVLX;40;130;933;4.385900974273682
Z3;Wordpress6;FVLX;250;130;3663;45.77721285820007
Z3;Wordpress6;FVLX;500;130;6913;59.70853805541992
Z3;Wordpress7;FVLX;20;150;776;1.4616961479187012
Z3;Wordpress7;FVLX;40;150;1076;7.757899761199951
Z3;Wordpress7;FVLX;250;150;4226;43.8133819103241
Z3;Wordpress7;FVLX;500;150;7976;92.17154788970947
Z3;Wordpress8;FVLX;20;170;879;2.561969041824341
Z3;Wordpress8;FVLX;40;170;1219;15.450132131576538
Z3;Wordpress8;FVLX;250;170;4789;161.761483669281
Z3;Wordpress8;FVLX;500;170;9039;303.2135479450226
Z3;Wordpress9;FVLX;20;180;932;3.10443115234375
Z3;Wordpress9;FVLX;40;180;1292;17.688101291656494
